EPIC,Name,Cumulative volume
VOD,VodafoneGroup,518.000
LLOY,Lloyds Banking Group,380.000
GLEN,Glencore,150.000
BARC,Barclays,100.500
TSCO,Tesco,62.000
HSBA,HSBC Holdings,57.000
AAPL,Apple,900.000
MSFT,Microsoft Corporation,43.39M
GOOG,Alphabet,2.28M
AMZN,Amazon.com,5.15M
TSLA,Tesla,33.51M
NVDA,NVIDIA Corporation,73.07M
FB,Meta Platforms,52.13M
BABA,Alibaba Group Holding Limited,83.78M
CRM,salesforce.com,12.22M
INTC,Intel Corporation,46.24M
AMD,Advanced Micro Devices,96.40M
PYPL,PayPal Holdings,32.00M
ATVI,Activision Blizzard,16.21M
EA,Electronic Arts,2.65M
TTD,The Trade Desk,7.96M
MTCH,Match Group,7.12M
ZG,Zillow Group,847.58k
YELP,Yelp,715.80k
VOD,VodafoneGroup,518.000
LLOY,Lloyds Banking Group,380.000
GLEN,Glencore,150.000
BARC,Barclays,100.500
TSCO,Tesco,62.000
HSBA,HSBC Holdings,57.000
AAPL,Apple,900.000
MSFT,Microsoft Corporation,43.39M
GOOG,Alphabet,2.28M
AMZN,Amazon.com,5.15M
TSLA,Tesla,33.51M
NVDA,NVIDIA Corporation,73.07M
FB,Meta Platforms,52.13M
BABA,Alibaba Group Holding Limited,83.78M
CRM,salesforce.com,12.22M
INTC,Intel Corporation,46.24M
AMD,Advanced Micro Devices,96.40M
PYPL,PayPal Holdings,32.00M
ATVI,Activision Blizzard,16.21M
EA,Electronic Arts,2.65M
TTD,The Trade Desk,7.96M
MTCH,Match Group,7.12M
ZG,Zillow Group,847.58k
YELP,Yelp,715.80k
